"Timestamp","Which CI systems do you use?"
"2017/10/31 1:41:11 PM GMT+2","Jenkins;I don't use CI for my own projects"
"2017/10/31 1:54:05 PM GMT+2","Jenkins"
"2017/10/31 2:00:54 PM GMT+2","I don't use CI for my own projects"
"2017/10/31 2:01:54 PM GMT+2","I don't use CI for my own projects"
"2017/10/31 2:12:25 PM GMT+2","I don't use CI for my own projects"
"2017/10/31 2:19:43 PM GMT+2","Travis-CI"
"2017/10/31 2:45:48 PM GMT+2","AWS CodeBuild"
"2017/10/31 2:46:16 PM GMT+2","We don't use CI at work"
"2017/10/31 3:01:07 PM GMT+2","Jenkins"
"2017/10/31 3:12:49 PM GMT+2","Bamboo"
"2017/10/31 3:36:27 PM GMT+2","CircleCI;In-house CI system"
"2017/10/31 3:47:57 PM GMT+2","Jenkins;Semaphore CI"
"2017/10/31 4:20:17 PM GMT+2","We don't use CI at work"
"2017/10/31 4:24:07 PM GMT+2","Travis-CI;TeamCity"
"2017/10/31 4:57:58 PM GMT+2","I don't use CI for my own projects"
"2017/10/31 5:17:32 PM GMT+2","Jenkins"
"2017/10/31 5:22:20 PM GMT+2","Jenkins;In-house CI system"
"2017/10/31 6:07:27 PM GMT+2","GitLab CI;Travis-CI;OpenShift"
"2017/10/31 6:09:20 PM GMT+2","Semaphore CI"
"2017/10/31 6:25:59 PM GMT+2","We don't use CI at work;I don't use CI for my own projects"
"2017/10/31 7:18:25 PM GMT+2","We don't use CI at work;I don't use CI for my own projects"
"2017/10/31 7:30:20 PM GMT+2","Codeship"
"2017/10/31 8:40:48 PM GMT+2","Jenkins"
"2017/10/31 9:52:40 PM GMT+2","Jenkins;I don't use CI for my own projects"
"2017/10/31 10:29:38 PM GMT+2","Gerrit+Tapper+selfmade_glue"
"2017/11/01 12:18:59 AM GMT+2","Jenkins"
"2017/11/01 12:24:37 AM GMT+2","We don't use CI at work"
"2017/11/01 1:49:06 AM GMT+2","I don't use CI for my own projects"
"2017/11/01 1:59:32 AM GMT+2","Jenkins;I don't use CI for my own projects"
"2017/11/01 2:16:18 AM GMT+2","I don't use CI for my own projects"
"2017/11/01 4:18:19 AM GMT+2","Jenkins"
"2017/11/01 5:06:23 AM GMT+2","TeamCity"
"2017/11/01 5:35:32 AM GMT+2","Jenkins;I don't use CI for my own projects"
"2017/11/01 6:17:17 AM GMT+2","Appveyor;Jenkins;Travis-CI"
"2017/11/01 6:53:16 AM GMT+2","AWS CodeBuild;TeamCity"
"2017/11/01 6:53:40 AM GMT+2","AWS CodeBuild;Buildbot"
"2017/11/01 8:18:58 AM GMT+2","I don't use CI for my own projects"
"2017/11/01 9:59:23 AM GMT+2","Jenkins;TeamCity"
"2017/11/01 10:31:13 AM GMT+2","GitLab CI"
"2017/11/01 11:01:36 AM GMT+2","Jenkins"
"2017/11/01 2:33:23 PM GMT+2","Bamboo;GitLab CI;Travis-CI"
"2017/11/01 6:12:11 PM GMT+2","Jenkins;TeamCity"
"2017/11/02 3:52:45 AM GMT+2","AWS CodeBuild"
"2017/11/02 12:46:23 PM GMT+2","Jenkins"
"2017/11/02 1:10:53 PM GMT+2","GitLab CI;Travis-CI"
"2017/11/02 4:39:52 PM GMT+2","Jenkins"
"2017/11/02 7:23:39 PM GMT+2","CircleCI"
"2017/11/03 12:01:19 AM GMT+2","GitLab CI;Jenkins;TeamCity"
"2017/11/03 5:03:30 AM GMT+2","AWS CodeBuild"
"2017/11/03 5:04:14 AM GMT+2","AWS CodeBuild;Jenkins;Travis-CI"
"2017/11/03 4:23:17 PM GMT+2","AWS CodeBuild;Jenkins;In-house CI system"
"2017/11/04 1:44:22 AM GMT+2","We don't use CI at work"
"2017/11/04 5:04:06 AM GMT+2","AWS CodeBuild"
"2017/11/04 1:58:50 PM GMT+2","GitLab CI;Jenkins;In-house CI system"
"2017/11/04 3:06:23 PM GMT+2","We don't use CI at work;I don't use CI for my own projects"
"2017/11/05 8:13:55 AM GMT+2","Jenkins"
"2017/11/05 8:25:23 AM GMT+2","Bamboo;GitLab CI;Jenkins"
"2017/11/05 8:29:52 AM GMT+2","Jenkins;We don't use CI at work"
"2017/11/05 9:04:10 AM GMT+2","Jenkins;Quick Build"
"2017/11/05 9:05:00 AM GMT+2","Bamboo;Jenkins;I don't use CI for my own projects"
"2017/11/05 9:09:10 AM GMT+2","GitLab CI;Jenkins;In-house CI system"
"2017/11/05 9:12:29 AM GMT+2","Travis-CI"
"2017/11/05 9:17:06 AM GMT+2","GitLab CI"
"2017/11/05 9:37:13 AM GMT+2","I do only small projects using emacs, make, test in Perl"
"2017/11/05 9:43:41 AM GMT+2","We don't use CI at work"
"2017/11/05 10:06:00 AM GMT+2","In-house CI system"
"2017/11/05 10:18:44 AM GMT+2","GitLab CI"
"2017/11/05 10:32:21 AM GMT+2","Appveyor;GitLab CI;Travis-CI"
"2017/11/05 11:16:59 AM GMT+2","I don't use CI for my own projects"
"2017/11/05 12:00:34 PM GMT+2","Buildbot"
"2017/11/05 12:05:55 PM GMT+2","Jenkins"
"2017/11/05 12:43:00 PM GMT+2","GitLab CI"
"2017/11/05 12:44:13 PM GMT+2","GitLab CI"
"2017/11/05 1:29:29 PM GMT+2","Jenkins"
"2017/11/05 1:43:09 PM GMT+2","In-house CI system"
"2017/11/05 2:32:28 PM GMT+2","Jenkins"
"2017/11/05 2:39:16 PM GMT+2","Jenkins"
"2017/11/05 3:27:33 PM GMT+2","Jenkins"
"2017/11/05 3:41:12 PM GMT+2","Jenkins"
"2017/11/05 3:42:23 PM GMT+2","Jenkins"
"2017/11/05 3:51:34 PM GMT+2","Appveyor;Travis-CI"
"2017/11/05 5:29:29 PM GMT+2","We don't use CI at work;still experimenting with CI"
"2017/11/05 6:38:47 PM GMT+2","We don't use CI at work"
"2017/11/05 6:46:00 PM GMT+2","GitLab CI;TeamCity"
"2017/11/05 11:56:33 PM GMT+2","GitLab CI"
"2017/11/06 12:39:52 AM GMT+2","GitLab CI"
"2017/11/06 2:16:26 AM GMT+2","Travis-CI"
"2017/11/06 2:35:53 AM GMT+2","Jenkins;Semaphore CI;Travis-CI"
"2017/11/06 4:48:06 AM GMT+2","Travis-CI"
"2017/11/06 5:48:14 AM GMT+2","We don't use CI at work"
"2017/11/06 9:17:01 AM GMT+2","Jenkins"
"2017/11/06 9:38:07 AM GMT+2","Travis-CI"
"2017/11/06 3:15:44 PM GMT+2","CircleCI;Jenkins;Travis-CI"
"2017/11/06 4:08:50 PM GMT+2","AWS CodeBuild"
"2017/11/06 5:39:28 PM GMT+2","We don't use CI at work"
"2017/11/06 8:01:35 PM GMT+2","Bitbucket Pipelines;Jenkins;We don't use CI at work;I don't use CI for my own projects"
"2017/11/07 3:11:35 PM GMT+2","Travis-CI"
"2017/11/08 4:27:22 PM GMT+2","Jenkins"
"2017/11/09 12:14:14 AM GMT+2","We don't use CI at work;I don't use CI for my own projects"
"2017/11/09 4:34:51 AM GMT+2","Bamboo;GitLab CI;Travis-CI"
